ID_Cliente,Total_Mediciones,Mediciones_Agresivas,Promedio_Aceleracion,Porcentaje_Agresivo,Categoria_Riesgo
733,4705,1176,0.111110631338007,24.9946865037195,Riesgo Alto - Aumento de Prima
993,4693,1182,0.111856827873832,25.1864479011293,Riesgo Alto - Aumento de Prima
294,4822,1211,0.112009581725726,25.114060555786,Riesgo Alto - Aumento de Prima
1132,4632,1104,0.107869889106263,23.8341968911917,Riesgo Alto - Aumento de Prima
164,4626,1177,0.111914347985776,25.4431474275832,Riesgo Alto - Aumento de Prima
1200,4668,1240,0.116423032833626,26.5638389031705,Riesgo Alto - Aumento de Prima
389,4749,1170,0.111458741366798,24.6367656348705,Riesgo Alto - Aumento de Prima
287,4665,1123,0.11053767644011,24.0728831725616,Riesgo Alto - Aumento de Prima
812,4605,1163,0.111981424493195,25.2551574375679,Riesgo Alto - Aumento de Prima
314,4691,1206,0.11384761432289,25.7088040929439,Riesgo Alto - Aumento de Prima
856,4599,1122,0.109270883424797,24.3966079582518,Riesgo Alto - Aumento de Prima
915,4755,1199,0.111044060620898,25.2155625657203,Riesgo Alto - Aumento de Prima
79,4703,1136,0.109803967739816,24.1547948118222,Riesgo Alto - Aumento de Prima
349,4634,1169,0.111302810936725,25.226586102719,Riesgo Alto - Aumento de Prima
1134,4716,1216,0.111899088742764,25.7845631891433,Riesgo Alto - Aumento de Prima
906,4654,1173,0.112664643584662,25.2041254834551,Riesgo Alto - Aumento de Prima
402,4601,1127,0.110395845868765,24.4946750706368,Riesgo Alto - Aumento de Prima
290,4513,1160,0.113201724847719,25.7035231553291,Riesgo Alto - Aumento de Prima
989,4672,1130,0.11183214896114,24.1866438356164,Riesgo Alto - Aumento de Prima
357,4654,1141,0.108621140239288,24.5165449076064,Riesgo Alto - Aumento de Prima
524,4784,1220,0.115438666287465,25.5016722408027,Riesgo Alto - Aumento de Prima
312,4629,1171,0.111918992070766,25.2970403974941,Riesgo Alto - Aumento de Prima
1253,4677,1163,0.110160242845444,24.8663673294847,Riesgo Alto - Aumento de Prima
816,4551,1097,0.111293086658795,24.1045923972753,Riesgo Alto - Aumento de Prima
1059,4694,1161,0.111655571806313,24.7337025990626,Riesgo Alto - Aumento de Prima
1283,4717,1145,0.111736478069914,24.2739029043884,Riesgo Alto - Aumento de Prima
554,4684,1180,0.113187695163055,25.1921434671221,Riesgo Alto - Aumento de Prima
317,4498,1122,0.112077109825536,24.9444197421076,Riesgo Alto - Aumento de Prima
612,4654,1170,0.110947978892726,25.1396648044693,Riesgo Alto - Aumento de Prima
173,4672,1167,0.110682517291356,24.978595890411,Riesgo Alto - Aumento de Prima
1276,4635,1160,0.110760889395348,25.0269687162891,Riesgo Alto - Aumento de Prima
221,4618,1168,0.110821645992235,25.2923343438718,Riesgo Alto - Aumento de Prima
1469,4613,1156,0.112320161168963,25.0596141339692,Riesgo Alto - Aumento de Prima
873,4676,1243,0.113539117443636,26.5825491873396,Riesgo Alto - Aumento de Prima
1260,4696,1174,0.110480342183253,25,Riesgo Alto - Aumento de Prima
1157,4600,1166,0.112517183397887,25.3478260869565,Riesgo Alto - Aumento de Prima
201,4645,1183,0.112519257189562,25.4682454251884,Riesgo Alto - Aumento de Prima
493,4801,1183,0.111277587819072,24.640699854197,Riesgo Alto - Aumento de Prima
